Text,gold_ner,gold_re,wx_ner,gpt_re
巴丘，今巴陵；华容，今石首也。黄州赤壁非是。,"{'地点': ['巴丘', '巴陵', '华容', '石首', '黄州', '赤壁']}","{'属地': [['赤壁', '黄州']], '地点别名': [['华容', '石首'], ['巴丘', '巴陵']]}","{'地点': ['巴陵', '石首', '巴丘', '华容', '黄州', '赤壁']}","{'地点别名': [['华容', '石首'], ['华容', '赤壁']], '属地': [['赤壁', '黄州']]}"
或谓备曰：「宜速行保江陵，江陵，南郡治所。,"{'人物': ['备'], '地点': ['江陵', '江陵', '南郡']}","{'治所': [['江陵', '南郡']]}","{'人物': ['备'], '地点': ['江陵', '南郡']}","{'治所': [['备', '江陵'], ['备', '南郡']]}"
关羽遣兵屯偃城，括地志：偃城，在襄州安养县北三里，古郾子之国。,"{'人物': ['关羽', '郾子'], '地点': ['偃城', '偃城', '襄州', '安养县'], '书籍': ['括地志']}","{'属地': [['偃城', '安养县'], ['偃城', '襄州'], ['安养县', '襄州']], '生于地点': [['郾子', '偃城']]}","{'人物': ['关羽', '郾子'], '地点': ['偃城', '安养县', '襄州'], '书籍': ['括地志']}","{'属地': [['偃城', '安养县']], '位于': [['关羽', '偃城']]}"
」孤云、两角，二山名也；今巴州汉巴郡宕渠县之北界也。,"{'地点': ['孤云', '两角', '巴州', '巴郡', '宕渠县'], '时间': ['汉']}","{'属地': [['宕渠县', '巴郡'], ['孤云', '巴州'], ['两角', '巴州']]}","{'地点': ['巴州', '宕渠县', '巴郡', '巴州汉巴'], '时间': ['汉']}","{'属地': [['宕渠县', '巴郡'], ['宕渠县', '巴州'], ['宕渠县', '巴州汉巴']]}"
宋白曰：泸州之泸川江安县，本江阳地。,"{'人物': ['宋白'], '地点': ['泸州', '泸川', '江安县', '江阳']}","{'属地': [['泸川', '泸州'], ['江安县', '泸川'], ['江安县', '泸州']], '旧属': [['江安县', '江阳']]}","{'人': [['宋白', 1.0]], '地点': [['泸州', 0.9999], ['江阳', 0.9998], ['泸川', 0.9995], ['江安县', 0.9995]], '时间': [], '职官': [], '书籍': [], '团体': []}","{'属地': [['江安县', '泸川'], ['江安县', '泸州']], '旧属': [['江安县', '江阳']], '任职': [], '到达': [], '攻伐': [], '管理': [], '位于': [], '派遣': [], '生于地点': [], '政治奥援': [], '封': [], '父': [], '交谈': [], '杀': [], '作者': [], '打败': [], '别名': [], '同僚': [], '地点别名': [], '兄弟': [], '见面': [], '设置': [], '投靠': [], '祖孙': [], '隶属于': [], '合作': [], '离开': [], '请求': [], '游历': [], '归附': [], '救援': [], '治所': [], '修建': [], '死于时间': [], '母': [], '害怕': [], '夫妻': [], '旧臣': [], '死于地点': []}"
讬言住猎，潜遣将军周峻、张梁等击江夏、新市、安陆、石阳，新市、安陆二县，皆属江夏郡。,"{'人物': ['周峻', '张梁'], '地点': ['江夏', '新市', '安陆', '石阳', '新市', '安陆', '江夏郡']}","{'属地': [['安陆', '江夏郡'], ['新市', '江夏郡']], '攻伐': [['张梁', '安陆'], ['张梁', '新市'], ['张梁', '石阳'], ['张梁', '江夏'], ['周峻', '石阳'], ['周峻', '新市'], ['周峻', '江夏'], ['周峻', '安陆']]}","{'地点': ['石阳', '江夏', '新市', '安陆', '江夏郡'], '人物': ['周峻', '张梁', '潜'], '职官': ['将军']}","{'攻伐': [['张梁', '江夏'], ['张梁', '新市'], ['张梁', '安陆'], ['周峻', '江夏'], ['周峻', '新市'], ['周峻', '安陆'], ['张梁', '石阳'], ['周峻', '石阳']], '属地': [['安陆', '江夏郡'], ['新市', '江夏郡'], ['石阳', '江夏郡']], '任职': [['周峻', '将军'], ['张梁', '将军']], '派遣': [['潜', '周峻'], ['潜', '张梁']]}"
2眭固屯射犬，郡国志：河内野王县有射犬聚。,"{'人物': ['眭固'], '地点': ['射犬', '河内', '野王县', '射犬聚'], '书籍': ['郡国志']}","{'属地': [['野王县', '河内'], ['射犬聚', '野王县'], ['射犬聚', '河内']], '位于': [['眭固', '射犬']]}","{'人物': ['眭固'], '地点': ['射犬', '野王县', '射犬聚', '河内'], '书籍': ['郡国志']}","{'位于': [['眭固', '射犬']], '属地': [['射犬聚', '野王县'], ['野王县', '河内'], ['射犬', '野王县']]}"
杜佑曰：扬州六合县，春秋楚之棠邑，汉为堂邑。,"{'人物': ['杜佑'], '地点': ['扬州', '六合县', '棠邑', '堂邑'], '时间': ['春秋', '汉'], '团体': ['楚']}","{'属地': [['六合县', '扬州']], '地点别名': [['棠邑', '六合县'], ['堂邑', '六合县']]}","{'人物': ['杜佑'], '地点': ['棠邑', '堂邑', '六合县', '扬州', '楚'], '时间': ['汉', '春秋']}","{'属地': [['六合县', '扬州'], ['棠邑', '楚']], '地点别名': [['棠邑', '六合县'], ['棠邑', '堂邑'], ['六合县', '堂邑']]}"
沈约曰：江夏曲陵县本名石阳，晋武帝太康元年，改曰曲陵；宋明帝泰始六年，并曲陵入安陆县。,"{'人物': ['沈约'], '地点': ['江夏', '曲陵县', '石阳', '曲陵', '曲陵', '安陆县'], '时间': ['晋武帝太康元年', '宋明帝泰始六年']}","{'属地': [['曲陵县', '江夏'], ['曲陵', '安陆县']], '地点别名': [['曲陵县', '石阳'], ['石阳', '曲陵']]}","{'人物': ['沈约'], '地点': ['曲陵', '安陆县', '石阳', '江夏', '曲陵县'], '时间': ['宋明帝泰始六年', '晋武帝太康元年']}","{'地点别名': [['曲陵县', '石阳'], ['曲陵', '石阳']], '属地': [['曲陵县', '江夏']]}"
亮遂至滇池。滇池县属益州郡。,"{'人物': ['亮'], '地点': ['滇池', '滇池县', '益州郡']}","{'属地': [['滇池县', '益州郡']], '到达': [['亮', '滇池']]}","{'地点': ['滇池县', '益州郡', '滇池'], '人物': ['亮']}","{'到达': [['亮', '滇池县']], '属地': [['滇池县', '益州郡']]}"
黟帅陈仆、祖山等二万户屯林历山，魏氏春秋曰：丹阳郡黟县，有林历山。歙县亦属丹阳郡。,"{'地点': ['黟', '林历山', '丹阳郡', '黟县', '林历山', '歙县', '丹阳郡'], '人物': ['陈仆', '祖山'], '书籍': ['魏氏春秋']}","{'属地': [['歙县', '丹阳郡'], ['黟县', '丹阳郡'], ['林历山', '黟县'], ['林历山', '丹阳郡']], '位于': [['陈仆', '林历山'], ['祖山', '林历山']], '管理': [['陈仆', '黟'], ['祖山', '黟']]}","{'人物': ['祖山', '陈仆'], '地点': ['歙县', '林历山', '黟县', '丹阳郡'], '书籍': ['魏氏春秋'], '职官': ['帅']}","{'属地': [['歙县', '丹阳郡'], ['黟县', '丹阳郡']], '位于': [['祖山', '林历山'], ['陈仆', '林历山']], '任职': [['陈仆', '帅'], ['祖山', '帅']]}"
乙卯，张杨自野王来朝，野王县，属河内郡，隋、唐为河内县。,"{'时间': ['乙卯', '隋', '唐'], '人物': ['张杨'], '地点': ['野王', '野王县', '河内郡', '河内县']}","{'属地': [['野王县', '河内郡']], '离开': [['张杨', '野王']], '地点别名': [['河内郡', '河内县']]}","{'人物': ['张杨'], '地点': ['野王县', '河内县', '河内郡', '野王'], '时间': ['乙卯', '唐', '隋']}","{'属地': [['野王县', '河内郡']], '地点别名': [['野王县', '河内县']]}"
操引军从华容道步走，华容县，属南郡；从此道可至华容县也。,"{'人物': ['操'], '地点': ['华容', '华容县', '南郡', '华容县']}","{'属地': [['华容县', '南郡']], '游历': [['操', '华容']]}","{'人物': ['操'], '地点': ['华容县', '南郡']}","{'属地': [['华容县', '南郡']], '到达': [['操', '华容县']]}"
2秋，八月，操击刘表，军于西平。西平县，属汝南郡。,"{'时间': ['秋', '八月'], '人物': ['操', '刘表'], '地点': ['西平', '西平县', '汝南郡']}","{'属地': [['西平县', '汝南郡']], '攻伐': [['操', '刘表']], '位于': [['操', '西平']]}","{'人物': ['操', '刘表'], '地点': ['西平', '西平县', '汝南郡'], '时间': ['秋', '八月']}","{'攻伐': [['操', '刘表']], '属地': [['西平县', '汝南郡']], '位于': [['操', '西平']]}"
垫江县，属巴郡。涪县，属广汉郡。,"{'地点': ['垫江县', '巴郡', '涪县', '广汉郡']}","{'属地': [['涪县', '广汉郡'], ['垫江县', '巴郡']]}","{'地点': ['垫江县', '巴郡', '涪县', '广汉郡']}","{'属地': [['涪县', '广汉郡']]}"
旣到大阳，贤曰：大阳县，属河东郡。,"{'地点': ['大阳', '大阳县', '河东郡'], '人物': ['贤']}","{'属地': [['大阳县', '河东郡']]}","{'人物': ['贤'], '地点': ['大阳县', '大阳', '河东郡']}",{}
水经注：靑衣水出靑衣县西蒙山，东至蜀郡临邛县与沫水合，又东至犍为南安县入于江，所谓南安峡口也。,"{'书籍': ['水经注'], '地点': ['靑衣水', '靑衣县', '蒙山', '蜀郡', '临邛县', '沫水', '犍为', '南安县', '江', '南安', '峡口']}","{'属地': [['临邛县', '蜀郡'], ['南安县', '犍为'], ['峡口', '南安']]}","{'地点': ['靑衣水', '靑衣县', '蒙山', '蜀郡', '临邛县', '沫水', '犍为', '南安县', '江', '南安峡', '南安峡口'], '书籍': ['水经注']}","{'属地': [['南安县', '犍为'], ['临邛县', '蜀郡']]}"
说文：泒水，出鴈门葰人戍夫山，东北入海。,"{'书籍': ['说文'], '地点': ['泒水', '鴈门', '葰人', '戍夫山']}","{'属地': [['戍夫山', '鴈门'], ['葰人', '鴈门'], ['戍夫山', '葰人']]}","{'地点': ['泒水', '鴈门', '葰人', '戍夫山'], '书籍': ['说文']}","{'属地': [['戍夫山', '葰人'], ['葰人', '鴈门'], ['戍夫山', '鴈门'], ['葰人戍夫山', '鴈门'], ['葰人戍夫山', '葰人']]}"
魏扬州止得汉之九江、庐江二郡地，而江津要害之地，多为吴所据。,"{'团体': ['魏'], '地点': ['扬州', '九江', '庐江', '江', '吴'], '时间': ['汉']}","{'属地': [['九江', '扬州'], ['庐江', '扬州']]}","{'地点': ['九江', '庐江', '扬州', '江津'], '团体': ['吴'], '时间': ['魏', '汉']}","{'属地': [['魏', '九江'], ['魏', '庐江']]}"
江西遂虚，合淝以南，惟有皖城。皖县，属庐江郡。,"{'地点': ['江西', '合淝', '皖城', '皖县', '庐江郡']}","{'属地': [['皖县', '庐江郡']]}","{'地点': ['江西', '合淝', '皖城', '皖县', '庐江郡']}","{'属地': [['皖县', '庐江郡']]}"
璋以韪为征东中郞将，率众击刘表，屯朐䏰。朐䏰县，属巴郡。,"{'人物': ['璋', '韪', '刘表'], '职官': ['征东中郞将'], '地点': ['朐䏰', '朐䏰县', '巴郡']}","{'任职': [['韪', '征东中郞将']], '属地': [['朐䏰县', '巴郡']], '位于': [['韪', '朐䏰']], '封': [['璋', '韪']], '攻伐': [['韪', '刘表']]}","{'人物': ['璋', '韪', '刘表'], '地点': ['朐䏰县', '巴郡'], '职官': ['征东中郞将']}","{'属地': [], '任职': [['韪', '征东中郞将']], '攻伐': [['璋', '刘表']], '位于': [['韪', '朐䏰']]}"
楚王彪，武帝子，黄初三年，徙王白马。白马县属东郡。,"{'人物': ['楚王彪', '武帝'], '时间': ['黄初三年'], '地点': ['白马', '白马县', '东郡']}","{'属地': [['白马县', '东郡']], '父': [['武帝', '楚王彪']], '到达': [['楚王彪', '白马']]}","{'人物': ['楚王彪', '武帝'], '地点': ['白马县', '东郡', '白马'], '时间': ['黄初三年']}","{'属地': [['白马县', '东郡']], '父': [['武帝', '楚王彪']]}"
昔汉武帝掘地为海，封土为山，掘地为海，谓开昆明池；封土为山，谓作三神山渐台也。,"{'人物': ['汉武帝'], '地点': ['昆明池', '三神山', '渐台']}","{'属地': [['渐台', '三神山']], '修建': [['汉武帝', '昆明池'], ['汉武帝', '渐台']]}","{'人物': ['汉武帝'], '地点': ['昆明池', '三神山', '渐台']}","{'修建': [['汉武帝', '昆明池']], '设置': [['汉武帝', '三神山渐台']]}"
左传，晋有邯郸午。,"{'书籍': ['左传'], '地点': ['晋', '邯郸午']}","{'属地': [['邯郸午', '晋']]}","{'书籍': ['左传'], '人物': ['邯郸午'], '时间': ['晋']}",{}
今江州德化县西南九十里有柴桑山。,"{'地点': ['江州', '德化县', '柴桑山']}","{'属地': [['德化县', '江州']]}","{'地点': ['柴桑山', '德化县', '江州']}","{'属地': [['柴桑山', '德化县']]}"
由此时呼备为刘豫州。豫州刺史本治谯，备领刺史而屯小沛。,"{'人物': ['备', '刘豫州', '备'], '地点': ['豫州', '谯', '小沛'], '职官': ['刺史', '刺史']}","{'管理': [['备', '豫州']], '别名': [['备', '刘豫州']], '任职': [['备', '刺史']], '位于': [['备', '小沛']], '治所': [['谯', '豫州']]}","{'人物': ['备', '备'], '地点': ['谯', '小沛', '豫州', '刘豫州'], '职官': ['刺史', '刺史']}","{'任职': [['备', '刺史']], '位于': [['备', '小沛']], '其他': []}"
以祎之才识，乃复信望气者之说邪！葭萌县，汉属广汉郡，蜀先主改曰汉寿县，属梓潼郡。,"{'人物': ['祎', '先主'], '地点': ['葭萌县', '广汉郡', '汉寿县', '梓潼郡'], '时间': ['汉'], '团体': ['蜀']}","{'属地': [['汉寿县', '梓潼郡']], '地点别名': [['葭萌县', '汉寿县']], '旧属': [['葭萌县', '广汉郡']], '设置': [['先主', '汉寿县']], '隶属于': [['先主', '蜀']]}","{'人物': ['祎', '先主'], '地点': ['葭萌县', '广汉郡', '汉寿县', '梓潼郡'], '时间': ['汉', '蜀']}","{'属地': [['汉寿县', '梓潼郡']], '旧属': [['葭萌县', '广汉郡']]}"
祖不用；宁欲去，恐不免；飞乃白祖，以宁为邾长。邾县，属江夏郡。,"{'人物': ['祖', '宁', '飞', '祖', '宁'], '地点': ['邾', '邾县', '江夏郡']}","{'属地': [['邾县', '江夏郡']], '交谈': [['飞', '祖']]}","{'人物': ['祖', '宁', '飞'], '地点': ['邾县', '江夏郡', '邾'], '职官': ['长']}","{'任职': [['宁', '长']], '交谈': [['飞', '祖']], '属地': [['邾县', '江夏郡']], '管理': [['宁', '邾']]}"
贤曰：今贝州宗城县侧有古界城，此城近枯漳水，界桥当在此水上。,"{'人物': ['贤'], '地点': ['贝州', '宗城县', '界城', '漳水', '界桥']}","{'属地': [['宗城县', '贝州']]}","{'地点': ['宗城县', '界桥', '贝州', '界城', '漳水', '枯漳水', '古界城'], '人物': ['贤']}","{'属地': [['宗城县', '贝州']]}"
谦，丹阳人。丹阳县，属丹阳郡，今润州县。,"{'人物': ['谦'], '地点': ['丹阳', '丹阳县', '丹阳郡', '润州县']}","{'属地': [['丹阳县', '丹阳郡']], '生于地点': [['谦', '丹阳']], '地点别名': [['丹阳县', '润州县']]}","{'人物': ['谦'], '地点': ['润州县', '丹阳郡', '丹阳县', '丹阳', '润州']}","{'属地': [['丹阳县', '丹阳郡']], '地点别名': [['丹阳县', '润州县'], ['丹阳县', '润州'], ['润州县', '润州']], '生于地点': [['谦', '丹阳']]}"
贤曰：召陵故城在今豫州郾城县东，通讨虏渠以伐吴也。,"{'人物': ['贤'], '地点': ['召陵', '豫州', '郾城县', '讨虏渠'], '团体': ['吴']}","{'属地': [['郾城县', '豫州']]}","{'地点': ['召陵', '郾城县', '讨虏渠', '豫州'], '人物': ['贤'], '团体': ['吴']}","{'属地': [['郾城县', '豫州']], '攻伐': [['贤', '吴']]}"
又据五代志，宣城秋浦县，旧曰石城。,"{'书籍': ['五代志'], '地点': ['宣城', '秋浦县', '石城']}","{'属地': [['秋浦县', '宣城']], '地点别名': [['宣城', '石城']]}","{'地点': ['石城', '秋浦县', '宣城'], '书籍': ['五代志']}","{'地点别名': [['秋浦县', '石城']]}"
吴居厚奉行新法，剥下媚上，温益阿附二蔡，物议不容。,"{'人物': ['吴居厚', '温益', '蔡']}","{'政治奥援': [['温益', '蔡']]}","{'人物': ['吴居厚', '温']}",{}
」懿不从，故寻亮。,"{'人物': ['懿', '亮']}","{'其他': [['懿', '亮']]}","{'人物': ['懿', '亮']}","{'其他': [['懿', '亮']]}"
由是重诸侯科禁，而植宠日衰。植妻衣绣，操登台见之，以违制命，还家赐死。,"{'职官': ['诸侯'], '人物': ['植', '植妻', '操']}","{'见面': [['操', '植妻']]}","{'人物': ['操', '植'], '职官': ['诸侯'], '夫妻': ['植']}",{'死于地点': []}
水经注：蒲圻，江中有沙阳洲，沙阳县治。,"{'书籍': ['水经注'], '地点': ['蒲圻', '江', '沙阳洲', '沙阳县']}",{},"{'地点': ['沙阳洲', '蒲圻', '沙阳县', '江'], '书籍': ['水经注']}","{'治所': [['沙阳洲', '沙阳县']]}"
观孔明独拜德公于牀下，孔明所以事德公者为何如邪！德公初不令止，德公所以自居者为何如邪！德公于是不可及矣。德公从子统，少时朴钝，未有识者，从，才用翻。,"{'人物': ['孔明', '德公', '孔明', '德公', '德公', '德公', '德公', '德公', '统']}","{'其他': [['德公', '统']], '见面': [['孔明', '德公']], '政治奥援': [['孔明', '德公']]}","{'人物': ['德公', '统', '孔明']}","{'其他': [['德公', '统']]}"
按，据也。懿分道进兵，欲以解祁山之围，自据中道，与亮旗鼓相向也。,"{'人物': ['懿', '亮'], '地点': ['祁山']}","{'攻伐': [['懿', '亮']], '救援': [['懿', '祁山']]}","{'人物': ['懿', '亮'], '地点': ['祁山']}",{}
徐谓表曰：「将军负嵩，嵩不负将军！」且陈前言。,"{'人物': ['表', '嵩', '嵩']}",{},"{'人物': ['表', '徐', '嵩']}","{'其他': [['表', '徐']]}"
13初，袁术之得南阳，户口数百万，而术奢淫肆欲，征敛无度，敛，力赡翻。百姓苦之，稍稍离散。旣与袁绍有𨻶，各立党援以相图谋。,"{'人物': ['袁术', '术', '袁绍'], '地点': ['南阳']}","{'其他': [['袁术', '袁绍']], '攻伐': [['袁术', '南阳']]}","{'人物': ['术', '袁术', '袁绍'], '地点': ['南阳']}","{'攻伐': [['袁术', '南阳']], '其他': [['术', '袁绍']]}"
辽西乌桓蹋顿尤强，蹋，徒腊翻。为绍所厚，故尙兄弟归之，数入塞为寇，数，所角翻。,"{'地点': ['辽西'], '团体': ['乌桓'], '人物': ['蹋顿', '绍', '尙']}","{'政治奥援': [['绍', '蹋顿'], ['尙', '蹋顿']], '位于': [['乌桓', '辽西']], '管理': [['蹋顿', '乌桓']]}","{'人物': ['尙', '绍', '蹋顿'], '地点': ['辽西'], '团体': ['乌桓']}","{'生于地点': [['蹋顿', '辽西']], '政治奥援': [['绍', '尙']], '归附': [['绍', '蹋顿']]}"
若无天地，愿以此为终身之诫！」权自前收其泪曰：「大慙，权慙谢贺齐也。,"{'人物': ['权', '权', '贺齐']}","{'政治奥援': [['权', '贺齐']]}","{'人物': ['权', '贺齐']}","{'其他': [['权', '贺齐']]}"
今区区之许攸，何足以劳神武哉！」操曰：「善！」遂厚抚攸，攸卽归服。,"{'人物': ['许攸', '操', '攸', '攸']}","{'政治奥援': [['操', '攸']], '归附': [['攸', '操']]}","{'人物': ['攸', '操']}","{'其他': [['操', '攸']]}"
5赵韪围刘璋于成都。,"{'人物': ['赵韪', '刘璋'], '地点': ['成都']}","{'攻伐': [['赵韪', '刘璋']], '位于': [['赵韪', '成都'], ['刘璋', '成都']]}","{'人物': ['赵韪', '刘璋'], '地点': ['成都']}","{'攻伐': [['赵韪', '刘璋']]}"
今左将军在汉中为夏侯渊所围，关羽在南郡，至尊身自临之。,"{'人物': ['左将军', '夏侯渊', '关羽'], '地点': ['汉中', '南郡']}","{'攻伐': [['夏侯渊', '左将军']], '位于': [['关羽', '南郡'], ['左将军', '汉中']]}","{'人物': ['关羽', '夏侯渊', '至尊'], '地点': ['汉中', '南郡'], '职官': ['左将军']}","{'位于': [['关羽', '南郡']]}"
洪由是怨绍，绝不与通。绍兴兵围之，历年不下。,"{'人物': ['洪', '绍', '绍']}","{'其他': [['洪', '绍']], '攻伐': [['绍', '洪']]}","{'人物': [['洪', 1.0], ['绍', 1.0]]}","{'其他': [['洪', '绍']]}"
卓以弘农杨懿为河南尹；儁复引兵还雒，击懿，走之。儁以河南残破无所资，乃东屯中牟，移书州郡，请师讨卓。,"{'人物': ['卓', '杨懿', '儁', '懿', '儁', '卓'], '地点': ['弘农', '河南', '雒', '河南', '中牟'], '职官': ['尹']}","{'任职': [['杨懿', '尹']], '攻伐': [['儁', '卓'], ['儁', '懿']], '位于': [['儁', '中牟']], '到达': [['儁', '雒']], '生于地点': [['杨懿', '弘农']], '封': [['卓', '杨懿']], '管理': [['杨懿', '河南']]}","{'人物': ['懿', '儁', '卓', '杨懿'], '职官': ['尹'], '地点': ['中牟', '河南', '弘农', '雒']}","{'任职': [['懿', '尹']], '到达': [['儁', '雒']], '攻伐': [['儁', '懿'], ['儁', '卓']], '位于': [['儁', '中牟']], '派遣': [['儁', '卓']], '请求': [], '属地': [['中牟', '儁']], '政治奥援': [['儁', '卓']], '合作': [['儁', '卓']]}"
値操扬兵大出，云猝与相遇，遂前突其陈，且鬭且却。,"{'人物': ['操', '云']}","{'攻伐': [['云', '操']]}","{'人物': ['操', '云']}",{}
12秋，七月，汉主自率诸军击孙权，权遣使求和于汉。,"{'时间': ['秋', '七月'], '人物': ['汉主', '孙权', '权'], '地点': ['汉']}","{'攻伐': [['汉主', '孙权']], '请求': [['权', '汉']]}","{'人物': ['权', '汉主', '孙权'], '地点': ['汉'], '时间': ['秋', '七月']}","{'攻伐': [['汉主', '孙权']]}"
操急击之，琼退保营，操遂攻之。,"{'人物': ['操', '琼', '操']}","{'攻伐': [['操', '琼']]}","{'人物': ['琼', '操', '操']}",{'攻伐': []}
羨叛表事始上卷三年。曹操方与袁绍相拒，未暇救之。,"{'人物': ['羨', '表', '曹操', '袁绍'], '时间': ['三年']}","{'攻伐': [['曹操', '袁绍']], '其他': [['羨', '表']]}","{'人物': ['羨', '曹操', '袁绍', '表'], '时间': ['三年']}","{'攻伐': [['曹操', '袁绍']]}"
」绍但遣轻骑救琼，而以重兵攻操营，不能下。,"{'人物': ['绍', '琼', '操']}","{'攻伐': [['绍', '操']], '救援': [['绍', '琼']]}","{'人物': ['绍', '琼', '操'], '团体': [], '时间': [], '地点': []}","{'救援': [['绍', '琼']]}"
或曰：成，重也，一重之丘也。于毒等攻东武阳。,"{'人物': ['于毒'], '地点': ['东武阳']}","{'攻伐': [['于毒', '东武阳']]}","{'人物': ['于毒'], '地点': ['东武阳']}","{'攻伐': [['于毒', '东武阳']]}"
术大怒，遣策攻康，谓曰：「前错用陈纪，错，误也。,"{'人物': ['术', '策', '康', '陈纪']}","{'攻伐': [['策', '康']], '派遣': [['术', '策']]}","{'人物': ['康', '术', '策', '陈纪']}","{'派遣': [['术', '策']], '攻伐': [['策', '康']]}"
不尤，有武力。靖康之难，与王明募义兵，与金人战，雄张河南﹑北。,"{'人物': ['不尤', '王明'], '时间': ['靖康'], '团体': ['金'], '地点': ['河']}","{'攻伐': [['不尤', '金'], ['王明', '金']], '合作': [['不尤', '王明']]}","{'人物': ['不尤', '王明'], '地点': ['靖康', '河南'], '团体': ['金']}",{}
得四千馀人。固等与高干、张晟共攻畿，不下，略诸县，无所得。,"{'人物': ['固', '高干', '张晟', '畿']}","{'攻伐': [['高干', '畿'], ['张晟', '畿'], ['固', '畿']], '合作': [['高干', '张晟'], ['固', '高干'], ['固', '张晟']]}","{'人物': ['固', '高干', '张晟'], '时间': [], '地点': [], '职官': [], '书籍': [], '团体': [], '其他': ['畿']}","{'攻伐': [['张晟', '畿'], ['固', '畿'], ['高干', '畿']], '合作': [], '任职': [], '到达': [], '属地': [], '管理': [], '位于': [], '派遣': [], '生于地点': [], '政治奥援': [], '封': [], '父': [], '交谈': [], '杀': [], '作者': [], '打败': [], '别名': [], '同僚': [], '地点别名': [], '兄弟': [], '旧属': [], '见面': [], '设置': [], '投靠': [], '祖孙': [], '隶属于': [], '离开': [], '请求': [], '游历': [], '归附': [], '救援': [], '治所': [], '修建': [], '死于时间': [], '母': [], '害怕': [], '夫妻': [], '旧臣': [], '死于地点': []}"
」魏名臣奏载杨曁表曰：「武皇帝征张鲁，以十万之众，身亲临履。,"{'书籍': ['魏名臣奏'], '人物': ['杨曁', '武皇帝', '张鲁']}","{'攻伐': [['武皇帝', '张鲁']]}","{'人物': ['张鲁', '杨曁', '武皇帝'], '地点': ['魏'], '书籍': ['名臣奏']}","{'攻伐': [['武皇帝', '张鲁']], '作者': [['杨曁', '表']]}"
2三月，魏公操自将击张鲁，将自武都入氐，武都，本白马氐所居之地，武帝开以为郡。氐人塞道，塞，悉则翻。遣张郃、朱灵等攻破之。,"{'时间': ['三月'], '人物': ['魏公操', '张鲁', '武帝', '张郃', '朱灵'], '地点': ['武都', '氐', '武都', '白马', '氐'], '团体': ['氐']}","{'到达': [['魏公操', '氐']], '攻伐': [['魏公操', '张鲁'], ['朱灵', '氐'], ['张郃', '氐']], '位于': [['氐', '白马'], ['氐', '武都']], '派遣': [['魏公操', '朱灵'], ['魏公操', '张郃']], '设置': [['武帝', '武都']], '离开': [['魏公操', '武都']]}","{'人物': ['魏公操', '武帝', '张鲁', '张郃', '朱灵'], '地点': ['武都', '武都'], '时间': ['三月'], '团体': ['氐', '白马氐']}","{'攻伐': [['魏公操', '张鲁']], '派遣': [['魏公操', '朱灵'], ['魏公操', '张郃']], '位于': [['白马氐', '武都']]}"
是后陆逊败刘备于峡中，收兵而还，不复追备，计亦出此。,"{'人物': ['陆逊', '刘备', '备'], '地点': ['峡']}","{'位于': [['陆逊', '峡'], ['刘备', '峡']], '打败': [['陆逊', '刘备']]}","{'人物': ['备', '陆逊', '刘备'], '地点': ['峡中']}","{'打败': [['陆逊', '刘备']]}"
张郃屯广石，广石，当在巴、汉之间。备攻之不能克，急书发益州兵。,"{'人物': ['张郃', '备'], '地点': ['广石', '广石', '巴', '汉', '益州']}","{'攻伐': [['备', '广石']], '位于': [['张郃', '广石']]}","{'人物': ['张郃', '备'], '地点': ['广石', '巴', '汉', '益州']}","{'位于': [['张郃', '广石']]}"
吴书云：「权征合肥，命张昭别讨匡奇。,"{'书籍': ['吴书'], '人物': ['权', '张昭'], '地点': ['合肥', '匡奇']}","{'攻伐': [['权', '合肥'], ['张昭', '匡奇']], '派遣': [['权', '张昭']]}","{'人物': ['权', '张昭'], '地点': ['合肥', '匡奇'], '书籍': ['吴书']}","{'攻伐': [['张昭', '匡奇']], '派遣': [['权', '张昭']]}"
」观孔明此言，不以汉主伐吴为可，然而不谏者，以汉主怒盛而不可阻，且得上流，可以胜也。,"{'人物': ['孔明', '汉主', '汉主'], '地点': ['吴']}","{'攻伐': [['汉主', '吴']]}","{'人物': ['孔明', '汉主'], '地点': ['吴']}","{'攻伐': [['汉主', '吴']]}"
宣和四年，帅众数百来归，授通直郞。金人犯京师，以晏总辽东兵，号“赤心队”,"{'时间': ['宣和四年'], '职官': ['通直郞'], '团体': ['金'], '地点': ['京师', '辽东'], '人物': ['晏']}","{'攻伐': [['金', '京师']]}","{'人物': [], '物品': [], '时间': ['宣和四年'], '地点': ['京师', '辽东'], '职官': ['通直郞'], '书籍': [], '团体': ['金']}","{'攻伐': [['金', '京师']], '管理': [['晏', '辽东']]}"
7乌桓乘天下乱，略有汉民十馀万户，袁绍皆立其酋豪为单于，酋，慈由翻。,"{'团体': ['乌桓'], '地点': ['汉'], '人物': ['袁绍']}","{'攻伐': [['乌桓', '汉']], '政治奥援': [['袁绍', '乌桓']]}","{'人物': ['袁绍'], '团体': ['乌桓'], '地点': ['汉'], '职官': ['单于']}",{}
李雄据蜀后，枳县荒废；桓温定蜀，别立枳县于今郡东北十里。,"{'人物': ['李雄', '桓温'], '地点': ['蜀', '枳县', '蜀', '枳县']}","{'攻伐': [['桓温', '蜀'], ['李雄', '蜀']], '设置': [['桓温', '枳县']]}","{'人物': ['李雄', '桓温'], '地点': ['蜀', '枳县']}","{'攻伐': [['桓温', '蜀']], '设置': [['桓温', '枳县']], '地点别名': []}"
